objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
<<<<<<< HEAD
coll0001,Humor in Eudora Welty's The Shoe Bird,Helen Bevington,11/15/1964,New York Times Archive,Shoe Bird;Review,"New York, NY",40.7129822,-74.007205,New York Times Book Review,pn_1964_sb_001,,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll001.jpg,https://images.apieceofnews.org/static/small/coll001_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll001_th.jpg,,
coll0002,The Shoe Bird,,4/10/1994,New York Times Archive ,Shoe Bird;Review,"New York, NY",40.7129822,-74.007205,New York Times Book Reivew,pn_1994_sb_002,,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll002.jpg,https://images.apieceofnews.org/static/small/coll002_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll002_th.jpg,,
coll0003,The Shoe Bird,,2/28/1965,Newspapers.com,Shoe Bird;Review,"Sioux Falls, SD",43.54997000,-96.70033000,Argus-Leader,pn_1965_sb_003,,audio/mpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll003.jpg,https://images.apieceofnews.org/static/small/coll003_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll003_th.jpg,,
coll0004,Welty's Parrot Gives Children Bird's-Eye View of Learning,Elizabeth Ward,2/20/1994,Genealogy Bank,Shoe Bird;Review,"Atlanta, GA",33.748188,-84.390865,Atlanta Journal,pn_1994_sb_004,,video/mp4,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll004.jpg,https://images.apieceofnews.org/static/small/coll004_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll004_th.jpg,,
coll0005,A Wide Choice for Children from Picture Books to Poetry,Margaret Libby,12/13/1964,Genealogy Bank,Shoe Bird;Review,"Toledo, OH",41.6551035,-83.5351604,Toledo Blade,pn_1964_sb_005,,video/mp4,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll005.jpg,https://images.apieceofnews.org/static/small/coll005_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll005_th.jpg,,
coll0006,Children Romp Through Book Fair,Arline Grimes,11/2/1964,Genealogy Bank,Shoe Bird;Review,"Boston, MA",42.361145,-71.057083,Boston Herald,pn_1964_sb_006,,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll006.jpg,https://images.apieceofnews.org/static/small/coll006_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll006_th.jpg,,
coll0007,A Festival of Reading,Charlotte Jackson,11/29/1964,Genealogy Bank,Shoe Bird;Review,"Chicago, IL",41.883718,-87.632382,Chicago Sun Times,pn_1964_sb_007,,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll007.jpg,https://images.apieceofnews.org/static/small/coll007_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll007_th.jpg,,
coll0008,Riding High With Great Fall Books!,,11/1/1964,Newspapers.com,Shoe Bird;Advertisement,"Chicago, IL",41.883718,-87.632382,Chicago Tribune,pn_1964_sb_008,,,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll008.jpg,https://images.apieceofnews.org/static/small/coll008_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll008_th.jpg,,
coll0009,The Junior Bookshelf,Polly Goodwin,12/20/1964,Newspapers.com,Shoe Bird;Review,"Chicago, IL",41.883718,-87.632382,Chicago Tribune,pn_1964_sb_009,,,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://images.apieceofnews.org/static/coll009.jpg,https://images.apieceofnews.org/static/small/coll009_sm.jpg,https://images.apieceofnews.org/static/thumbs/coll009_th.jpg,,
